2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0,1
5,QW-3,Totto,Bulto unisex,Bulto,18000.0,1
8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0,3
9,KU-5,Element,Tabla de patineta,Skateboard,15000.0,4
12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0,4
13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0,4
14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0,4
20,BQ-4,Jigsaw,M·ximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0,5
3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0,2
4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0,3
7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0,3
