1495,5300
1913,600
2930,2475
2772,1550
1651,2000
1100,1337
1756,5550
759,8000
3886,5650
2558,8000
2991,1475
1979,1825
3525,1850
3573,7300
1256,1750
1315,5350
2222,0
3010,0
2575,3187
3401,5450
990,900
1878,1750
1013,875
3412,1550
3894,6700
1228,800
878,650
1870,1550
2876,2125
2804,1550
2270,1700
3216,650
1835,0
2519,875
3260,0
3134,0
2094,350
2554,0
708,0
218,0
900,0
2125,2475
2546,350
3056,0
3256,2475
2704,0
2477,0
1306,0
2648,5200
544,0
3103,0
3535,0
858,0
3675,0
2436,0
1830,0
1503,0
1537,0
3870,0
1153,0
248,0
2114,0
3591,0
3061,0
391,0
3391,0
1466,0
917,2475
2228,0
1152,0
1674,9900
668,1150
2881,7225
3347,750
2040,1500
3532,1250
3266,1225
1128,6500
2100,1250
1918,10300
2433,6850
1365,2450
1382,6600
3896,1750
2251,350
2541,7750
3629,6175
869,600
2881,7225
3092,2425
3719,1250
1298,350
3166,2250
3758,9987
3589,5100
3190,950
1442,900
674,7850
2697,7575
1668,9950
1477,350
2826,6400
2896,900
1299,7950
524,5875
3278,1500
2648,5200
3389,7400
3395,12225
810,14275
3217,9150
3956,250
2479,1550
322,6375
506,12800
30,6700
2178,2275
3466,5200
2954,9275
847,6425
1210,2125
2084,9050
3198,5850
257,6450
1266,5200
774,5075
2748,10150
1283,800
1090,9650
3997,5600
709,5450
100,1350
404,750
1458,650
200,7425
3565,1750
836,2100
1322,2400
3430,1750
649,350
1004,1475
2561,1875
1915,5600
3032,7850
3431,1687
1806,2100
824,10250
1777,7000
1446,1500
3147,6300
123,10175
2354,8650
3841,1687
370,6450
3116,900
1578,8450
911,900
812,9550
810,14275
3359,2375
172,2150
435,350
821,1850
386,8975
3758,9987
2794,2425
1174,800
2592,8750
3548,900
877,7675
3871,5050
1203,2475
3731,1875
2805,7450
1788,2000
909,1575
1743,0
3553,7050
2938,11075
3062,5450
1463,9550
2988,350
3964,1875
1865,0
3204,0
3177,750
3936,1800
1766,1937
244,10350
952,0
877,7675
2451,900
1343,750
1071,0
1040,1850
3832,1550
1237,0
1146,0
3201,1100
1802,1750
2851,600
3114,1350
2875,0
2575,3187
73,2150
1336,250
2509,350
452,0
212,0
369,0
1031,1550
1546,800
2726,900
3481,2150
2908,800
2732,0
3127,0
1080,0
3229,1750
1159,800
3367,800
3739,0
3185,600
892,0
2828,0
3459,0
2087,0
661,0
2850,600
1231,0
1233,600
747,600
3894,6700
2145,0
2397,0
1385,0
136,0
3258,0
3464,0
1579,0
77,600
3769,0
1657,0
1580,0
3614,0
1775,0
2536,0
1052,0
1876,0
984,0
815,0
86,0
2840,1750
1397,0
1878,1750
2582,0
2232,0
1213,0
3066,0
1637,0
2513,0
1735,0
2266,0
1208,0
482,0
2183,0
3743,0
686,0
3021,0
2797,0
